,apmitchell,crossy,dwieman,dwoloch,eugeneg,gcheng,glenbo_nj,gordenlam,gordenlam,huyehara,ivankollar,jbrumley71,johnarcher,kharden,kharden,mkoza,mrivers,npile,orangey17,rexjacobsen,rgarga,rmeyers,sackingswin,stevekus,todd_hagopian,,treauxjan,whimelsein,,,,,,,,791branko,athompson,dcanaan,guyvega,the_barnacle,vanmeerten,todd_hagopian,rrurban,adevkota,ahknaten,jnavin,crees,dwoloch,ist.martin,jerrypettit,moonrunreport1,timbo56,loosegun
,APMIF,CIAF,DWVMF,DXF,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,KMF,TGF,RCAP,NMF,OMF,RMF,RMF,BSMF,NBNN,aval,HIBEV,Top Mutual Funds,LDGF,LFF,,,S&P 500,,,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10STX,DMF,ORR,PEF,MIDIX,SSOF1,BPMF
YTD 2017,30.87450%,42.70806%,29.84464%,,25.65966%,-4.25785%,52.90931%,33.34011%,1.88557%,2.54574%,3.67051%,-8.99265%,25.46479%,3.32829%,1.89736%,3.33073%,10.24388%,22.09366%,17.57422%,21.95751%,3.95310%,38.67637%,29.02533%,12.42352%,29.48704%,,13.56159%,50.86667%,50.85916%,,TR 21.83%,,,,YTD 2017,,,,,,,31.11242%,-0.57002%,17.14041%,12.89124%,-0.67759%,-39.25895%,,26.44145%,20.99640%,19.20071%,20.93795%,14.27063%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Accts,600.00000%,5 or less,5 or less,,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,,5 or less,5 or less,600.00000%,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,800.00000%,,5 or less,700.00000%,,,,,,,# of Accts,,,,,,,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,,5 or less,5 or less,5 or less,5 or less,5 or less
AUM,16247900.00000%,22378500.00000%,5552721.00000%,,1737861.00000%,1863740.00000%,8555611.00000%,3983759.00000%,2204180.00000%,38327683.00000%,1828620.00000%,1831415.00000%,12134976.00000%,2072982.00000%,,4354091.00000%,2237857.00000%,27869289.00000%,7534637.00000%,18588513.00000%,5355479.00000%,9364529.00000%,10902033.00000%,8574604.00000%,17730666.00000%,,2336778.00000%,85977688.00000%,,,,,,,AUM,,,,,,,8111534.00000%,1907065.00000%,2315820.00000%,23825300.00000%,1470427.00000%,3406300.00000%,,692497.00000%,2325346.00000%,2357258.00000%,3417694.00000%,1815637.00000%
Dispersion,0.16000%,0.34000%,0.00000%,,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.01000%,0.00000%,0.00000%,0.00000%,0.00000%,,0.16000%,0.00000%,0.10000%,0.03000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.63000%,,0.00000%,0.09000%,,,,,,,Dispersion,,,,,,,0.01000%,0.00000%,0.00000%,0.32000%,0.96000%,0.01000%,,0.00000%,0.00000%,0.00000%,0.07000%,0.00000%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APMIF,CIAF,DWVMF,DXF,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,KMF,TGF,RCAP,NMF,OMF,RJ RMF,RMF,BSMF,NBNN,aval,HIBEV,,LDGF,LFF,,,S&P 500,,S&P 500  TR,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10stx,DMF,ORR,PEF,MIDIX,SSOF1,BPMF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CIAF,,,EMF,,,,,HMF,S&P 500 TR 2014,,,,,TGF,,,,,,,,,,,,LFF,,,,,,,,,TPSNX,,,,VMNHI,,,,KAI,,,,,,,SSOF1,
4194300.00000%,,#REF!,,,#REF!,,,,,#REF!,,,,,,#REF!,,,,,,,,,,,,#REF!,,,,,,,4194300.00000%,,#REF!,,,,#REF!,,,,#REF!,,,,,,,#REF!,
4197300.00000%,,#REF!,,,#REF!,,,,,#REF!,,,,,,#REF!,,,,,,,,,,,,#REF!,,,,,,,4197300.00000%,,#REF!,,,,#REF!,,,,#REF!,,,,,,,#REF!,
